   0.01632   -0.00983   -0.00022
   0.04134   -0.05072   -0.00062
   0.02896   -0.02479   -0.00235
   0.01162   -0.01129    0.00048
   0.19948   -0.05944   -0.01509
   0.00284    0.00022    0.00223
   0.04197   -0.08891   -0.01462
   0.05590   -0.08791   -0.02130
   0.05094   -0.03746   -0.00494
   0.05777   -0.04471   -0.01314
   0.02473   -0.00051   -0.00006
   0.07703   -0.06353   -0.01636
  -0.00004   -0.01923   -0.00597
  -0.01099   -0.01684   -0.00276
   0.07021   -0.09291   -0.03965
   0.02899   -0.01547   -0.00365
   0.04481   -0.08395   -0.03452
   0.04005   -0.05714   -0.02717
   0.06333   -0.05919   -0.02746
   0.03987   -0.07465   -0.03635
   0.08746   -0.03869   -0.01623
   0.03616   -0.07990   -0.04393
   0.01565   -0.03981   -0.02536
   0.05883   -0.03414   -0.00839
   0.05144   -0.10480   -0.07130
   0.01476   -0.00338    0.00157
  -0.00024   -0.07881   -0.06285
   0.02031   -0.04357   -0.03214
   0.03155   -0.04741   -0.02426
   0.00448   -0.04406   -0.03632
   0.01616   -0.00421    0.00217
   0.00390   -0.08038   -0.07492
  -0.04131   -0.02439   -0.04327
  -0.02475   -0.01776   -0.02918
   0.00373   -0.08400   -0.09674
   0.03164   -0.01335    0.01246
   0.01801    0.05639    0.07477
   0.00936    0.03671    0.05186
   0.02973    0.03567    0.06183
  -0.00594    0.03972    0.04886
  -0.07825    0.05482   -0.01069
  -0.01319    0.07366    0.07643
   0.02714   -0.00504    0.02786
   0.02844    0.03869    0.08293
  -0.02109    0.08689    0.08439
   0.02134    0.00305    0.02303
   0.00191    0.03630    0.06073
  -0.00510    0.03168    0.03079
   0.00238    0.06921    0.09971
  -0.00729    0.04537    0.05164
   0.00827    0.00280    0.01158
   0.03001    0.01945    0.08707
   0.01001    0.02731    0.05666
  -0.00721    0.04044    0.03444
   0.00138    0.05757    0.09662
  -0.01856    0.05046    0.02033
  -0.07011    0.05451   -0.10919
  -0.00594   -0.04083   -0.07552
   0.00244   -0.06787   -0.07960
